"","CO_CURSO","NO_IES","DROPOUT_RATE"
"1",1925,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL",0.0769230769230769
"2",7524,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS",0.0983606557377049
"3",14249,"UNIVERSIDADE FEDERAL DE SANTA CATARINA",0.0131578947368421
"4",18143,"UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI",0.0483870967741935
"5",18397,"UNIVERSIDADE ESTADUAL DE CAMPINAS",0.087719298245614
"6",18880,"UNIVERSIDADE FEDERAL DE MINAS GERAIS",0.0538461538461538
"7",20629,"FACULDADE DO CENTRO LESTE",0.113636363636364
"8",27161,"FACULDADE ANHANGUERA DE JUNDIAÍ",0.393939393939394
"9",39409,"UNIVERSIDADE PAULISTA",0.19672131147541
"10",40095,"UNIVERSIDADE DE FORTALEZA",0.15625
"11",41626,"UNIVERSIDADE FEDERAL DE OURO PRETO",0.0704225352112676
"12",44869,"UNIVERSIDADE ANHANGUERA DE SÃO PAULO",0.424242424242424
"13",45464,"FACULDADE DE TECNOLOGIA E CIÊNCIAS",0.285714285714286
"14",60496,"UNIVERSIDADE PAULISTA",0.4375
"15",60531,"UNIVERSIDADE PAULISTA",0.314285714285714
"16",61285,"UNIVERSIDADE PAULISTA",0.175
"17",63638,"UNIVERSIDADE DE ARARAQUARA",0.216216216216216
"18",65060,"UNIVERSIDADE PAULISTA",0.333333333333333
"19",65872,"UNIVERSIDADE PAULISTA",0.207920792079208
"20",67514,"FACULDADE ESTÁCIO DE BELÉM - ESTÁCIO BELÉM",0.0294117647058824
"21",68518,"UNIVERSIDADE DE PERNAMBUCO",0.0163934426229508
"22",73946,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",0.0465116279069767
"23",74438,"CENTRO UNIVERSITÁRIO SOCIESC",0.147058823529412
"24",76012,"UNIVERSIDADE PAULISTA",0.238095238095238
"25",80379,"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA",0.25
"26",85274,"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS",0.16
"27",87862,"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS",0.488372093023256
"28",88468,"CENTRO UNIVERSITÁRIO DE JAGUARIÚNA",0.1
"29",91213,"FACULDADE ANHANGÜERA DE CAMPINAS",0.375
"30",92277,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",0.0857142857142857
"31",92879,"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA",0.175
"32",97753,"CENTRO UNIVERSITÁRIO UNA",0.175
"33",102499,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",0.0208333333333333
"34",105372,"UNIVERSIDADE ANHANGUERA DE SÃO PAULO",0.181818181818182
"35",107428,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",0.119402985074627
"36",110275,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",0.0851063829787234
"37",111916,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",0.0813953488372093
"38",112678,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",0.218181818181818
"39",114236,"FACULDADE PITÁGORAS DE BETIM",0.266666666666667
"40",115592,"UNIVERSIDADE PAULISTA",0.247058823529412
"41",116032,"UNIVERSIDADE FEDERAL DO RIO GRANDE",0.0232558139534884
"42",116092,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS",0.0967741935483871
"43",116304,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",0.166666666666667
"44",117088,"UNIVERSIDADE FEDERAL DA BAHIA",0.188679245283019
"45",117126,"CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE",0.354838709677419
"46",121630,"UNIVERSIDADE FEDERAL DE SANTA MARIA",0.027027027027027
"47",121916,"UNIVERSIDADE PAULISTA",0.178947368421053
"48",122618,"UNIVERSIDADE FEDERAL DE LAVRAS",0.021505376344086
"49",1011005,"FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM",0.290322580645161
"50",1059198,"FACULDADE PITÁGORAS DE SÃO LUIZ",0.206185567010309
"51",1102522,"UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI",0.14
"52",1102579,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC",0.0135135135135135
"53",1102660,"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ",0.134020618556701
"54",1109485,"UNIVERSIDADE FEDERAL DE JUIZ DE FORA",0.0909090909090909
"55",1113663,"UNIVERSIDADE FEDERAL DE PELOTAS",0.12
"56",1114857,"UNIVERSIDADE DO VALE DO RIO DOS SINOS",0.08
"57",1118959,"CENTRO UNIVERSITÁRIO NEWTON PAIVA",0.233333333333333
"58",1119277,"FACULDADE  PITÁGORAS",0.175
"59",1126054,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",0.142857142857143
"60",1126267,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",0.325842696629214
"61",1134815,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",0.282051282051282
"62",1148742,"INSTITUTO NACIONAL DE TELECOMUNICAÇÕES",0.136752136752137
"63",1151355,"CENTRO UNIVERSITÁRIO SENAI CIMATEC",0.333333333333333
"64",1156012,"UNIVERSIDADE PAULISTA",0.19047619047619
"65",1156013,"UNIVERSIDADE PAULISTA",0.170212765957447
"66",1159084,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",0.0294117647058824
"67",1164653,"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ",0.105882352941176
"68",1167276,"Centro Universitário SOCIESC de Curitiba",0.0967741935483871
"69",1167880,"UNIVERSIDADE SÃO JUDAS TADEU",0.219047619047619
"70",1174378,"FACULDADE ESTÁCIO DE SÁ DE OURINHOS",0.0526315789473684
"71",1187982,"UNIVERSIDADE ESTÁCIO DE SÁ",0.166666666666667
"72",1188508,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",0.0895522388059701
"73",1192389,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",0.30952380952381
"74",1204314,"FACULDADE DE TECNOLOGIA TERMOMECÂNICA",0.0617283950617284
"75",1204967,"CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS",0.25
"76",1257982,"INSPER INSTITUTO DE ENSINO E PESQUISA",0.0566037735849057
"77",1270057,"UNIVERSIDADE FEDERAL DE MATO GROSSO",0.0178571428571429
"78",1270376,"UNIVERSIDADE FEDERAL DE SANTA CATARINA",0.0566037735849057
"79",1280040,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",0.0526315789473684
"80",1292568,"UNIVERSIDADE DO ESTADO DO AMAZONAS",0.170212765957447
"81",1310880,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",0.131578947368421
"82",1313294,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",0.111111111111111
"83",1313303,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",0.0869565217391304
"84",1313475,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",0.179487179487179
"85",1349075,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",0.375
"86",1351910,"FACULDADE DE TECNOLOGIA SENAI JARAGUÁ DO SUL",0.0333333333333333
"87",1363951,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",0.25
"88",1363955,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",0.218181818181818
"89",1366667,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",0.351851851851852
"90",1375233,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",0.242424242424242
"91",1376266,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",0.266666666666667
"92",1377587,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",0.227272727272727
"93",1404022,"INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA",0.475
"94",1417101,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS",0.0217391304347826
"95",1419851,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",0.291666666666667
"96",1421237,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",0.219512195121951
"97",5000060,"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA",0.0851063829787234
